layer,level,sid,n,correct,accuracy,uplift,wilson_lower,p_value,q_value,selected
29,2,54,882,564,0.6394557823129252,0.15098618063577635,0.6072251752894092,5.781182892465006e-20,7.387635483822539e-19,True
29,2,80,1399,926,0.6619013581129378,0.17343175643578895,0.6366986220292095,2.1357519422490917e-40,6.293930213485078e-39,True
29,2,86,1754,1126,0.6419612314709237,0.1534916297937748,0.6192365822825202,6.925545043226248e-40,2.020300412609839e-38,True
29,2,97,328,187,0.5701219512195121,0.08165234954236328,0.5160383486340843,0.0017719419997253385,0.006594547029905641,True
29,2,104,349,225,0.6446991404011462,0.1562295387239973,0.5931595231653184,2.6061380450438986e-09,1.6951636653348602e-08,True
29,2,118,1424,899,0.6313202247191011,0.14285062304195223,0.605939905345745,2.3336321333302784e-28,4.6802288896235024e-27,True
29,2,125,155,95,0.6129032258064516,0.12443362412930276,0.53437396756273,0.0012131886657421635,0.00464680221042887,True
29,2,137,186,106,0.5698924731182796,0.08142287144113075,0.4980359411412854,0.015616862905770353,0.04978090515658364,True
29,2,141,154,113,0.7337662337662337,0.24529663208908487,0.6588890163521484,4.684248139511204e-10,3.2597852113032184e-09,True
29,2,148,739,578,0.7821380243572396,0.2936684226800907,0.7509578858176161,1.8533670344052218e-61,9.390392974319791e-60,True
29,2,149,1002,582,0.5808383233532934,0.09236872167614457,0.5500343458323445,1.910791270938245e-09,1.2571951567228468e-08,True
29,2,150,1664,1111,0.6676682692307693,0.1791986675536204,0.6446716697912809,3.9071277085181504e-51,1.6593801209118263e-49,True
29,2,221,102,65,0.6372549019607843,0.1487853002836354,0.5405399180148325,0.0017350216075449495,0.006465474067857825,True
29,2,237,1065,594,0.5577464788732395,0.0692768771960906,0.527763088531474,2.6989711942335437e-06,1.3844811383563898e-05,True
29,2,239,722,412,0.5706371191135734,0.08216751743642453,0.5342509685829782,4.95045836192383e-06,2.4735162195910074e-05,True
29,2,244,1325,821,0.6196226415094339,0.13115303983228505,0.5931715285395724,1.4768488720917777e-22,2.3180106209788334e-21,True
29,2,245,853,499,0.5849941383352872,0.09652453665813837,0.5516188691957817,7.213568004771859e-09,4.5387329842660415e-08,True
29,2,246,365,220,0.6027397260273972,0.11427012435024836,0.5517193394955952,7.023503724333841e-06,3.455515972040227e-05,True
30,1,153,15664,8138,0.519535240040858,0.03106563836370918,0.511707152760303,2.8986439054075766e-22,4.382870994145069e-21,True
30,1,209,15335,9086,0.5925008151287904,0.10403121345164151,0.5847014099937113,1.508011627310259e-222,4.355137579672028e-220,True
30,2,1,446,279,0.625560538116592,0.1370909364394431,0.5797502689587695,3.3863965013371465e-09,2.17815436433445e-08,True
30,2,6,688,437,0.6351744186046512,0.1467048169275023,0.5985451142232207,4.355483331714572e-15,4.322555279034944e-14,True
30,2,9,598,350,0.5852842809364549,0.09681467925930604,0.5453744587899189,1.0996314383401129e-06,5.848500172976512e-06,True
30,2,12,1476,904,0.6124661246612466,0.12399652298409775,0.587350019030511,1.5886334696821849e-22,2.4666523980871772e-21,True
30,2,33,631,408,0.6465927099841522,0.15812310830700332,0.6085093090598476,5.776725617468581e-16,6.02280995785172e-15,True
