layer,level,sid,n,correct,accuracy,uplift,wilson_lower,p_value,q_value,selected
7,2,126,177,104,0.5875706214689266,0.09910101979177771,0.5139379360721767,0.0050699301334059185,0.01768352442666219,True
7,2,127,214,77,0.3598130841121495,-0.12865651756499935,0.29850239586509975,0.9999458390445485,1.0,False
7,2,132,1144,559,0.48863636363636365,0.00016676195921477843,0.4597560608346837,0.5073033210785696,1.0,False
7,2,133,354,68,0.192090395480226,-0.2963792061969229,0.15444496579539663,1.0,1.0,False
7,2,136,1062,619,0.5828625235404896,0.09439292186334075,0.5529595826567265,2.719010515912914e-10,1.9354726761118045e-09,True
7,2,140,219,45,0.2054794520547945,-0.28299014962235436,0.15726319024891647,1.0,1.0,False
7,2,146,1117,454,0.40644583706356313,-0.08202376461358574,0.3780095603683546,0.9999999894651482,1.0,False
7,2,151,1718,819,0.4767171129220023,-0.011752488755146562,0.4531773633614187,0.845744644147786,1.0,False
7,2,152,128,59,0.4609375,-0.027532101677148868,0.3769796782209271,0.7617700903689205,1.0,False
7,2,156,1055,514,0.4872037914691943,-0.0012658102079545763,0.4571431247199362,0.5454470741487036,1.0,False
7,2,157,1322,778,0.5885022692889561,0.10003266761180724,0.5617554432083083,8.494302324528564e-14,7.690139533930561e-13,True
7,2,167,905,527,0.5823204419889503,0.09385084031180141,0.5499068209123491,6.716888896831166e-09,4.254029634659738e-08,True
7,2,170,542,202,0.3726937269372694,-0.11577587473987949,0.33301600871352216,0.9999999812432347,1.0,False
7,2,180,572,214,0.3741258741258741,-0.11434372755127475,0.3354330566820678,0.9999999880995379,1.0,False
7,2,182,446,232,0.5201793721973094,0.031709770520160496,0.47383859085903485,0.0970193755279493,0.2678699393161736,False
7,2,186,310,177,0.5709677419354838,0.08249814025833496,0.5153336621497526,0.0021097095488101505,0.007781406356275498,True
7,2,187,105,16,0.1523809523809524,-0.3360886492961965,0.09602582280126756,0.9999999999999145,1.0,False
7,2,190,293,188,0.6416382252559727,0.15316862357882383,0.5852238003510503,8.432703505392412e-08,4.960009719668694e-07,True
7,2,192,738,370,0.5013550135501355,0.012885411872986585,0.4653673555503683,0.25171564082715026,0.6299434754842375,False
7,2,201,1727,879,0.5089751013317892,0.02050549965464038,0.48540319207628574,0.043280029279422455,0.12780442183943974,False
7,2,202,1122,546,0.48663101604278075,-0.0018385856343681173,0.45748000806818284,0.561507269947094,1.0,False
7,2,204,229,115,0.5021834061135371,0.0137138044363882,0.4379242159172467,0.36305946894464536,0.8658263801091131,False
7,2,205,131,14,0.10687022900763359,-0.38159937266951527,0.06473410776143446,1.0,1.0,False
7,2,208,1289,659,0.5112490302560124,0.02277942857886356,0.4839670289108079,0.05137021298201388,0.14955360392344363,False
7,2,209,592,322,0.543918918918919,0.0554493172417701,0.5036422356829918,0.003725758299594721,0.013218660895859404,True
7,2,211,304,170,0.5592105263157895,0.07074092463864062,0.5030046864134226,0.007773541048586758,0.02638071274773038,True
7,2,212,381,136,0.3569553805774278,-0.13151422109972105,0.3104942975784211,0.999999923768996,1.0,False
7,2,228,588,284,0.48299319727891155,-0.005476404398237322,0.4428436033913695,0.6211964983606052,1.0,False
7,2,229,1348,692,0.5133531157270029,0.02488351404985406,0.4866706014768875,0.033781119770919125,0.10130828026834314,False
